steps	balance	coverage	success rate	transport rate
30	0.88	1	1	1
30	0.85	1	1	1
18	0.6428571429	1	1	1
30	0.9565217391	1	1	1
30	0.7619047619	1	0	0.7142857143
30	0.8571428571	0.75	0	0.5
30	0.7826086957	1	0	0.5833333333
30	0.8	1	0	0.6666666667
22	0.6315789474	1	0	0.5833333333
30	0.9444444444	1	0	0.6666666667
30	0.9166666667	0.75	0	0.6666666667
17	0.8461538462	1	1	1
10	0.8888888889	1	1	1
14	0.8333333333	1	1	1
19	1	1	1	1
20	0.9333333333	1	1	1
30	0.6666666667	1	1	1
30	 0.5909090909090909	1	1	1
12	1	1	1	1
30	0.92	1	1	1
30	0.9130434783	1	0	0.8333333333
27	0.8695652174	1	1	1
30	0.7083333333	1	0	0.9166666667
30	0.9444444444	1	0	0.9166666667
30	0.6315789474	1	0	0.8333333333
30	0.6666666667	1	0	0.8333333333
16	0.9090909091	1	1	1
30	0.9230769231	0.75	0	0.6666666667
18	0.8	1	1	1
30	0.9473684211	1	0	0.6666666667
30	0.5185185185	0.5	0	0.3333333333
30	0.8928571429	0.75	0	0.6666666667
30	0.7894736842	1	0	0.875
30	0.9166666667	1	0	0.75
30	0.7647058824	1	0	0.75
30	0.85	1	0	0.875
30	0.7894736842	1	0	0.875
6	0.5	1	1	1
8	0.6	1	1	1
18	0.9411764706	1	1	1
30	0.8666666667	1	1	1
28	0.6363636364	1	1	1
30	1	1	1	1
30	0.9375	0.5	0	0.375
30	0.8823529412	1	1	1
30	0.9411764706	0.75	0	0.75
30	0.95	1	1	1